,Filename,Date,Entity name,Order type,Text
0,00-06-S, 1/20/00, Christopher Gordon Fike, Consent Agreement,
1,00-08-S, 2/23/00, Bradley David Eisner, Consent Agreement,
2,00-09-S, 2/25/00, Michael Richard MacCaull, Consent Agreement,
3,00-05-S, 3/23/00, Kikiktagruk Inupiat Corporation, Consent Agreement,
4,00-15-S, 5/09/00, Karen R. Hansen, Consent Agreement,"Aug 09 06 03:02p
ALASKA SECURITIES
9074651230
p.2
1
STATE OF ALASKA
2
DEPARTMENT OF COMMUNITY AND ECONOMIC DEVELOPMENT
DIVISION OF BANKING, SECURITIES, AND CORPORATIONS
3
P.O. BOX 110807
JUNEAU, ALASKA 99811-0807
4
5
CONSENT AGREEMENT
cc - 15
6
7
This letter of agreement is between Karen R. Hansen (CRD # 2189218),
8
registered in Alaska as a securities agent for MONY Securities Corporation (MONY), and
9
the Alaska Division of Banking, Securities, and Corporations (the division) in resolution of
10
the division's examination of Hansen's advertising as a registered investment adviser and
11
holding herself out as an investment adviser representative when not properly registered.
12
Karen Hansen agrees not to violate the Alaska Securities Act or its
13
regulations in the future and refrain from advertising, or holding herself out, as a (state)
14
investment adviser or investment adviser representative unless properly registered with the
15
division.
16
Karen Hansen agrees to pay the division $1,000 as a partial offset to the
17
costs associated with the division's inquiry into this matter.
18
Karen Hansen affirms under oath that she will deliver to all invitees to her
19
April 29, 2000 Juneau financial planning seminar (and the March Anchorage seminar, if
20
applicable) a corrective statement as filed with the division. Ms. Hansen agrees to provide
21
the division a list of invitees and attendees so noticed.
22
Karen Hansen agrees to file with the division, 10 days prior to use, all
23
advertising materials (including seminar invitations) used for the next 12 months in
24
connection with her business as a securities agent with MONY Securities Corporation.
25
Consent Agreement
Page 1
RuE 09 06 03:03p ALPSKA SECURITIES
9074651230
p.3
1
Such pre-filing is in addition to adhering to the advertising, filing, and approval requirements
2
of her broker dealer.
3
Karen Hansen agrees to re-take the Series 63 (State Securities Law exam)
4
and provide proof to the division of successfully passing that exam within six (6) months of
5
the date of this letter of agreement.
6
MONY agrees to review Karen Hansen's qualifications and abilities to
7
conduct ""Taking Control of Your Financial Management"" seminars in the future, and to
8
provide special supervisory procedures over her conduct of such seminars for the next 12
9
months, if she is found qualified to make such presentations.
10
MONY agrees to provide and supervise 15 hours of additional training to
11
Karen Hansen regarding compliance with the firm's written supervisory procedures, with
12
special emphasis on advertising and the proper use and presentation of investment advice.
13
MONY also agrees to update in writing all MONY securities agents in Alaska as to the
14
proper procedures for submitting all advertising to the OSJ Supervisor for approval. MONY
15
will also inform all agents in writing of the prohibition in Alaska for agents to hold
16
themselves out as investment advisers or investment adviser representatives when not
17
properly registered with the division.
18
The division agrees not to initiate formal administrative action on this matter
19
considering the facts known to the division as of the date of this letter becoming effective.
20
Karen Hansen agrees to waive any rights to a hearing in this matter.
21
DATED this 5th day of May, 2000
22
23
/s/ Karen Re Hansen-
Karen R. Hansen (CRD # 2189218)
24
25
Consent Agreement
Page 2
Aug 09 os 03:03p
ALOSKA SECURITIES
9074651230
p. 4
1
Subscribed to and sworn to before me this 5th day of May
2,000,
2
3
/s/ Linda J. Heimer
/
HOTAR
PUBLIC
Notary Public, State of
NY
4
My Commission Expires:
jm.
5
6
DATED this 1st day of May
, 2000.
7
FOR MONY SECURITIES CORPORATION
8
9
BY: /s/ Joseph Buffone
10
Joseph Buffone, Compliance Director
MONY Securities Corporation
11
12
DATED and EFFECTIVE this 9th day of May
, 2000.
13
14
/s/ Franklin Terry Elder
15
Tanklin Terry Elder
Administrator of Securities
16
17
18
19
20
21
22
23
24
25
Consent Agreement
Page 3
"
5,00-11-S, 5/31/00, HotYelLoan Originatorw98.com, Consent Agreement,
6,00-13-S, 5/21/00, Winthorpe Grant, Consent Agreement,
7,00-14-S, 6/5/00, Thomas C. Byrne; Pearse Tone Hedge Fund L.P., Final Order,
8,00-12-S, 6/8/00, Grand BalLoan Originatort, Final Order,
9,00-01-S, 9/22/00, New Millennium, Settlement Agreement,
10,02-04-S, 09/28/01, Nu Life Investment TechnoLoan Originatorgy and Ken Fisher, Final Order,"1
STATE OF ALASKA
DEPARTMENT OF COMMUNITY AND ECONOMIC DEVELOPMENT
2
DIVISION OF BANKING, SECURITIES, AND CORPORATIONS
P.O. BOX 110807
3
JUNEAU, ALASKA 99811-0807
4
In the Matter of:
)
5
)
Nu Life Investment Technology,
)
6
and Ken Fisher, its senior
)
Alaska Order No. 02-04 S
representative,
)
7
)
Respondents.
)
8
FINAL ORDER TO CEASE AND DESIST
9
AND IMPOSING CIVIL FINE
10
FACTUAL ALLEGATIONS
11
1. The Division of Banking, Securities, and Corporations (division) within the
12
Department of Community and Economic Development is charged with enforcement of the
13
Alaska Securities Act (Act).
14
2. The Respondent company, Nu Life Investment Technology (Nu Life), has a
15
Miami, Florida, address and also an address in Porlamar, Venezuela. The working address
16
for Ken Fisher, senior representative, is unknown, but is probably the Florida address: Nu
17
Life NetZone 116, 7801 N.W. 37th Street, Miami, FL 33166-6559.
18
3. On June 9, 2001, Ken Fisher contacted E. R. and AL. R., an Anchorage
19
couple in their eighties, and inveigled them to give Fisher their credit card number in order
20
to receive a membership in British Premium Bond Program. Fisher charged $2,995.53 to
21
the card. The Rs' daughter-in-law contacted Visa on their behalf and apparently had the
22
transaction reversed.
23
4. This scheme constitutes a security under Alaska law for the following
24
reasons:
25
ALASKA ORDER # 02-04 S
Page 1
VIU
1
a. the scheme uses the name Nu Life Investment Technology and uses the
2
term ""investment"" in several places;
3
b. whether or not genuine, the scheme purports to sell ""bonds"" to its victims,
4
and bonds are clearly securities;
5
C. despite the first two factors, the scheme is an investment contract under
6
the definition enunciated in Securities & Exch. Comm'n V. W. J. Howey
7
Co., 328 U.S. 293, 299, 66 S.Ct. 1100, 1103 (1946); this definition states:
8
[An investment contract is] a contract, transaction or scheme
whereby a person invests his money in a common enterprise
9
and is led to expect profits solely from the efforts of the
promoter or some third party.""
10
5. The Act at AS 45.55.070 requires all securities sold in Alaska to be registered
11
with the division, unless exempt.
12
6. A check of division records revealed that Respondents at no time registered
13
in Alaska or applied for an exemption for this sale.
14
7. The Act at AS 45.55.010 forbids the use of a device, scheme, or artifice to
15
defraud.
16
8. The materials received by the Rs. contain several instances of the use of
17
fraudulent statements that tout their program. Nu Life says their investment program has
18
grown ""to be one of the most appreciated bonds in the world"" without substantiation. Nu
19
Life states that their ""Senior Representative is looking forward to guiding [the Rs.] towards
20
the Millionaires Circle"" implying that investment in the program guarantees a member
21
becoming a millionaire.
22
9. The Act at AS 45.55.030 forbids a person acting as an agent in this state
23
unless registered.
24
10. A check of division records reveals no registration as an agent for Ken
25
ALASKA ORDER # 02-04 S
Page 2
1
Fisher.
2
CONCLUSIONS OF LAW
3
11. Nu Life purports to be a program in which all memberships include
4
ownership of ""Premium Bonds"" to be held by the company acting on behalf of bond owners,
5
and winnings are to be directed to bond owners by the senior representative of Nu Life.
6
Thus, it is an investment of money in a common enterprise which depends for its success
7
on the actions of a third party. It is, therefore, an investment contract and a security subject
8
to the Alaska Securities Act.
9
12. Nu Life is a security, subject to the Alaska Securities Act, and at no time
10
received a registration or exemption in Alaska. Therefore, the sale of memberships in the
11
Nu Life Investment Technology program is a sale of unregistered securities in violation of
12
AS 45.55.070. The sales were effected by an unregistered agent of Nu Life.
13
13. By selling securities that are unregistered, Respondent Nu Life has violated
14
the Act. AS 45.55.920(c) provides for a fine of not more than $500 for a single violation of
15
the Act.
16
14. In selling unregistered securities, Respondent Fisher acted as an
17
unregistered agent making sales of unregistered securities. AS 45.55.920(c) provides for a
18
fine of not more than $500 for a single violation of the Act.
19
15. In using a device, scheme, or artifice to defraud, Nu Life has violated the Act.
20
AS 45.55.920(c) provides for a fine of not more than $500 for a single violation of the Act.
21
LAW
22
See Appendix ""1"" attached and made part hereof for a recitation of the statutes and
23
regulations cited in this Order.
24
25
ALASKA ORDER # 02-04 S
Page 3
VIU
1
ORDER AND CIVIL FINE
2
16. Under AS 45.55.920(a)(1), based on the facts alleged in this Order, the
3
Administrator finds that Respondent Nu Life and Respondent Fisher have engaged in
4
violations of the Alaska Securities Act and that it is in the public interest to issue this Order.
5
17. Under AS 45.55.920(a)(1)(A), Respondent Nu Life and Respondent Fisher
6
are ordered to cease and desist from selling unregistered securities and from all other
7
unlawful acts and practices. Respondents are also ordered to cease and desist from any
8
future violation of the Alaska Securities Act.
9
18. Under AS 45.55.920(c), Respondent Nu Life is fined $500 for each violation
10
of AS 45.55.010, AS 45.55.030, and AS 45.55.070, for a total fine of $1,500.
11
19. Under AS 45.55.920(c), Respondent Fisher is fined $500 for each violation of
12
AS 45.55.010, AS 45.55.030, and AS 45.55.070, for a total fine of $1,500.
13
20. Under AS 45.55.920(d), this Cease and Desist Order is made the Final Order
14
of the Administrator as no hearing under 3 AAC 08.930(a) was requested within 15 days
15
after receipt of the Temporary Order that was served on the Respondents on July 18, 2001.
16
Entered at Juneau, Alaska this 28th day of September, 2001.
17
18
Franklin T. Elder
19
Administrator of Securities
20
Contact Person:
21
Vincent L. Usera
Senior Securities Examiner
22
(907)465-2521
23
24
25
